,category,lat,lng,name,rating,reviews,yelpid
20,chinese,43.6531601,-79.3975372,Tian An Cuisine,2.5,6,tian-an-cuisine-toronto
21,chinese,43.65304,-79.3968,Dundas Garden,1.5,2,dundas-garden-toronto
22,chinese,43.656963,-79.4343958,Manchu Wok,2.5,3,manchu-wok-toronto-9
23,chinese,43.7269,-79.34207,Genghis Khan Mongolian Grill,3.5,92,genghis-khan-mongolian-grill-north-york
24,chinese,43.6535039,-79.3955005,Dumpling King,3.0,25,dumpling-king-toronto-3
25,chinese,43.6522510663,-79.3976421654,Master Mix HotPot,3.0,17,master-mix-hotpot-toronto
26,chinese,43.65484,-79.41598,Bite Noodles and Rice,3.0,2,bite-noodles-and-rice-toronto
27,chinese,43.65509,-79.39856,Papa Spicy,3.0,1,papa-spicy-toronto
28,chinese,43.65628,-79.39974,Lucky Dragon,3.0,1,lucky-dragon-toronto
29,chinese,43.65571,-79.39367,7 Dim Sum,3.0,3,7-dim-sum-toronto-7
30,chinese,43.65348,-79.39686,Hong Kong Harbour Restaurant,3.0,5,hong-kong-harbour-restaurant-toronto
31,chinese,43.6449013,-79.3854904,Manchu Wok,2.0,2,manchu-wok-toronto-2
32,chinese,43.73163,-79.46371,Lucky Wok Restaurants,4.5,6,lucky-wok-restaurants-north-york
33,chinese,43.65461,-79.39905,Happy Seven Restaurant,4.0,1,happy-seven-restaurant-toronto-2
34,chinese,43.73529,-79.4195699,Satay On the Road,3.0,34,satay-on-the-road-north-york
35,chinese,43.6866989,-79.3098526,Ho Lee Chow,1.0,10,ho-lee-chow-toronto-4
36,chinese,43.73369,-79.43275,Sea-Hi Chinese Food,2.5,17,sea-hi-chinese-food-north-york
37,chinese,43.6524086,-79.3973923,Taste Garden,3.0,1,taste-garden-toronto
38,chinese,43.68208,-79.47471,Lucky Chinese Food,3.5,2,lucky-chinese-food-york
39,chinese,43.6562119,-79.3997726,Ivan's Kitchen,2.5,3,ivans-kitchen-toronto
40,chinese,43.6535606,-79.3958511,Flourish BBQ Restaurant,3.0,1,flourish-bbq-restaurant-toronto
41,chinese,43.66588,-79.48752,Ho Lee Chow,1.0,18,ho-lee-chow-york
42,chinese,43.68186,-79.47094,King's BBQ Chicken Restaurant,2.5,2,kings-bbq-chicken-restaurant-toronto
43,chinese,43.655941,-79.3929977,Mala Express Restaurant,2.0,9,mala-express-restaurant-toronto
44,chinese,43.6534837,-79.3954754,Dundas Spring Garden,2.0,17,dundas-spring-garden-toronto
45,chinese,43.6541367,-79.3987961,Bright Pearl Seafood Restaurant,3.0,1,bright-pearl-seafood-restaurant-toronto
46,chinese,43.70779,-79.34344,Viva Chinese Food,2.0,1,viva-chinese-food-east-york
47,chinese,43.7366506,-79.4368234,Lily Garden Restaurant,2.5,7,lily-garden-restaurant-north-york
48,chinese,43.69719,-79.32895,Eden Chinese Food,1.5,12,eden-chinese-food-east-york
49,chinese,43.6524086,-79.3973923,Handmade Noodle,3.0,1,handmade-noodle-toronto
0,chinese,43.68509,-79.48524,Dragon House Chinese Food,5.0,1,dragon-house-chinese-food-york
1,chinese,43.62037,-79.48625,Lam Kee B B Q Restaurant,2.0,1,lam-kee-b-b-q-restaurant-etobicoke
2,chinese,43.7435493,-79.3019714,Mr. Chop Suey,3.0,1,mr-chop-suey-scarborough
3,chinese,43.61446,-79.48925,Flower Drum Restaurant,2.5,3,flower-drum-restaurant-etobicoke
0,french,43.64851,-79.3958435,Alo Restaurant,4.5,121,alo-restaurant-toronto
1,french,43.68155,-79.39991,Scaramouche Restaurant Pasta Bar & Grill,4.5,191,scaramouche-restaurant-pasta-bar-and-grill-toronto
2,french,43.65007,-79.4351,Le Baratin,4.5,33,le-baratin-toronto-5
3,french,43.64797,-79.40098,La Palette,4.0,168,la-palette-toronto-3
4,french,43.64808,-79.39556,Jules Bistro,4.0,135,jules-bistro-toronto
5,french,43.6437840329,-79.3968091867,Le Sélect Bistro,4.0,319,le-sélect-bistro-toronto-3
6,french,43.67115,-79.3918,Chabrol Restaurant,4.5,37,chabrol-restaurant-toronto-2
7,french,43.6700941,-79.3920355,Jacques' Bistro Du Parc,4.5,36,jacques-bistro-du-parc-toronto
8,french,43.6515933,-79.3849557,Osgoode Hall Restaurant,4.5,23,osgoode-hall-restaurant-toronto
9,french,43.64184,-79.43125,Restaurant Chantecler,4.0,116,restaurant-chantecler-toronto
10,french,43.7025524249,-79.3972819847,Coquine Restaurant,4.0,117,coquine-restaurant-toronto
11,french,43.64577,-79.41974,Union,4.0,176,union-toronto-3
12,french,43.64579,-79.39099,Victor,4.0,52,victor-toronto
13,french,43.74679,-79.40771,Auberge du Pommier,4.0,238,auberge-du-pommier-toronto
14,french,43.70549,-79.37534,L'Avenue Bistro,4.0,40,l-avenue-bistro-toronto
15,french,43.7115473,-79.3993523,Douce France,4.5,48,douce-france-toronto
16,french,43.64915,-79.3933799,Peter Pan Bistro,4.0,94,peter-pan-bistro-toronto
17,french,43.64192,-79.4066,Edulis,4.0,88,edulis-toronto
18,french,43.67765,-79.35008,Fiorentina,4.0,51,fiorentina-toronto
19,french,43.6802406,-79.3911819,Sorrel,4.0,12,sorrel-toronto-2
